Series Name,Series Code,Country Name,countrycode,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Labor force, total",SL.TLF.TOTL.IN,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,124052,126796,129540,132320,135145,137998,140888,143859,146938,150159,153739,157762,161946,166090,170161,174138,178016,181799,185468,188994,204374,207854,210577,212810,214593,215930,216787,217299,204314,211472,202693,206591,218809,221192
"Labor force, total",SL.TLF.TOTL.IN,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3330337,3421904,3575150,3776498,4029431,4329619,4688178,5088417,5387974,5565808,5758610,5954751,6150602,6346615,6561970,6779458,7006763,7242199,7248715,7740705,8200397,8456181,8380660,8249987,8400442,8465622,8833454,8936644,9128295,9329599,9480039,9341945,9572466,9740379
"Labor force, total",SL.TLF.TOTL.IN,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5023734,5171252,5322494,5480832,5644972,5813516,5988619,6171024,6357478,6545998,6737795,6936691,7147077,7364466,7584923,7808503,8035761,8274850,8349122,8404820,8440780,8576769,8709448,8842713,9008472,9205719,9380145,9534469,9686544,9849851,9926535,10140896,10518217,10843938
"Labor force, total",SL.TLF.TOTL.IN,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14657129,14723928,14690496,14776360,14916387,15019710,15170582,15409638,15645133,15924535,16186923,16454900,16941931,17341662,17554856,17706025,17980503,18289463,18579576,18747581,18934218,19112505,19332146,19544962,19594831,19705946,19857477,20155417,20391340,20799435,20505333,21005652,21456376,22197237
"Labor force, total",SL.TLF.TOTL.IN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1153521,1183756,1217150,1253441,1291329,1324606,1357287,1394963,1434184,1475862,1519797,1554776,1591138,1633162,1670331,1710058,1743881,1774213,1810032,1791421,1768615,1787333,1789171,1783385,1752553,1739750,1771652,1800948,1832281,1857882,1874715,1900739,1906249,1927491
"Labor force, total",SL.TLF.TOTL.IN,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2283052,2369333,2477814,2514530,2527214,2636467,2743008,2800176,2864476,2940091,3012805,3080214,3158872,3273492,3419195,3541960,3639849,3732926,3836518,3946011,4047417,4160410,4278285,4404608,4536040,4641540,4749824,4877709,5014610,5188027,5320890,5540827,5881552,6221467
"Labor force, total",SL.TLF.TOTL.IN,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69011,69609,69791,69698,69745,70065,70571,71106,71725,72571,73189,73615,74285,74956,75690,76639,77353,78119,78845,79519,80113,79973,80401,80727,81181,81626,81885,82085,82273,82564,81811,82837,82951,82457
"Labor force, total",SL.TLF.TOTL.IN,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4947079,5112321,5316439,5475416,5619145,5810257,5980808,6086471,6211120,6313009,6343733,6355065,6411103,6589050,6752634,6916575,7184183,7369317,7648250,7744258,8113921,8424492,8539046,8667171,8828997,8968101,9121865,9423968,9671888,9843775,8906788,9171143,9670728,9991796
"Labor force, total",SL.TLF.TOTL.IN,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,639912098,646245556,652547071,658329022,664565882,671238114,678359927,686473251,694001983,700421936,706837950,715928584,725938760,735682023,744936890,754465388,761948735,766486940,769779554,772141043,773873234,778275581,779022561,779251311,780370287,781077009,780932880,779166682,776868988,775928449,763830073,781187865,770113477,774607590
"Labor force, total",SL.TLF.TOTL.IN,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13877704,14224101,14623933,15067410,15530344,15991136,16380472,16820298,17194464,17422434,17848151,18236154,18340323,18966234,19153768,19163184,19349955,19533984,20022584,21321685,21788403,22348779,22946523,23081167,23376219,23770146,23971867,24367946,24727292,25000012,25151123,25915910,25830229,26490194
"Labor force, total",SL.TLF.TOTL.IN,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98548,101010,102937,104436,106006,107675,109462,111413,113555,116028,118766,121579,124427,127197,130361,135799,141390,147125,153038,159104,165266,171513,177826,183981,189935,198371,207002,215982,225278,234738,242808,253795,262624,268470
"Labor force, total",SL.TLF.TOTL.IN,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14709679,15197966,15709491,16279006,17151049,17900885,18082975,18200399,18640942,19281366,19898577,20529206,21152755,21758097,22393011,23088764,23509900,23897816,24276075,24679535,25138984,25643182,26140390,27043987,27971707,28902362,29975111,31131858,32171243,33156212,32851843,35154175,36183996,37296766
"Labor force, total",SL.TLF.TOTL.IN,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,915459,944170,973602,1005673,1038328,1069595,1101361,1123974,1148519,1183209,1239273,1295795,1327271,1367288,1420042,1477494,1539136,1600292,1653899,1724220,1799266,1854014,1899278,1937002,1976492,2018485,2064177,2114024,2167237,2223063,2240426,2316880,2409732,2485719
"Labor force, total",SL.TLF.TOTL.IN,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1146377,1162715,1180500,1236713,1286844,1351531,1345220,1441542,1526529,1573058,1596716,1679060,1710423,1762605,1771024,1888687,1911390,1978866,2003972,2030924,2027352,2114264,2283817,2299128,2357268,2344336,2262369,2300637,2422784,2534006,2419014,2490873,2504874,2340587
"Labor force, total",SL.TLF.TOTL.IN,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4183374,4365295,4557595,4757806,4965064,5179592,5400854,5628206,5858115,6073240,6253233,6429804,6605404,6779544,6954300,7133307,7316980,7505748,7771201,8106769,8433828,8749057,9048653,9300550,9534032,9764022,10013267,10180365,10349949,10522774,10870521,11440310,11882499,12216126
"Labor force, total",SL.TLF.TOTL.IN,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2205287,2164697,2100893,2100259,2111599,2084050,2042400,2018865,2004029,1983687,1953924,1869944,1859219,1865731,1912837,1910033,1894312,1924883,1934423,1932994,1911488,1880052,1857929,1830102,1872249,1866214,1796035,1777161,1739585,1721494,1708121,1724158,1740579,1731721
"Labor force, total",SL.TLF.TOTL.IN,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4376563,4410573,4431848,4434648,4471568,4506451,4555046,4594745,4630510,4681614,4728460,4763332,4788681,4819364,4855362,4905296,4955093,4988644,5010521,5142082,5096065,5113408,5130811,5147391,5156828,5174669,5176250,5170781,5154678,5122393,4836553,4841907,4939595,4897311
"Labor force, total",SL.TLF.TOTL.IN,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,356811,364495,369147,376868,385822,395306,405086,414925,424724,434538,444571,467154,477404,498316,512182,525197,538627,556863,569349,583119,600971,610147,623910,635175,651925,657397,663048,678816,698503,715161,719491,735675,755975,766606
"Labor force, total",SL.TLF.TOTL.IN,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4990849,5006830,5048967,5090175,5148804,5169680,5173419,5184785,5198829,5218785,5175714,5146214,5141940,5134951,5133307,5175001,5192187,5188948,5203709,5244400,5230927,5223171,5253910,5300303,5296601,5305064,5344644,5370664,5405110,5394887,5343016,5242069,5369986,5536144
"Labor force, total",SL.TLF.TOTL.IN,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2869730,2876655,2879282,2858653,2780928,2820861,2834685,2851413,2837498,2873210,2861618,2851668,2881404,2877534,2901221,2902668,2933792,2931561,2924360,2914702,2893686,2892968,2877238,2854299,2869233,2899972,2943425,2970148,2992952,3034322,3032016,3079023,3147518,3189737
